filename,distance
WS-numArg20-pbCycle0.5-beta0-baseDegree4-2.apx,16
WS-numArg20-pbCycle0.75-beta1-baseDegree8-1.apx,6
WS-numArg20-pbCycle0.5-beta0.25-baseDegree12-1.apx,8
WS-numArg20-pbCycle0.25-beta0-baseDegree8-4.apx,6
WS-numArg20-pbCycle0.25-beta0.75-baseDegree4-1.apx,2
WS-numArg20-pbCycle0.5-beta0.75-baseDegree4-0.apx,10
WS-numArg20-pbCycle0.5-beta0.5-baseDegree8-3.apx,4
WS-numArg20-pbCycle0.5-beta0.25-baseDegree16-1.apx,6
WS-numArg20-pbCycle0.75-beta0.75-baseDegree4-4.apx,16
WS-numArg20-pbCycle0.25-beta0.5-baseDegree8-2.apx,6
WS-numArg20-pbCycle0.25-beta0.5-baseDegree8-0.apx,16
WS-numArg20-pbCycle0.5-beta1-baseDegree12-3.apx,6
WS-numArg20-pbCycle0.25-beta0-baseDegree8-2.apx,8
WS-numArg20-pbCycle0.25-beta0-baseDegree12-1.apx,4
WS-numArg20-pbCycle0.25-beta0-baseDegree8-1.apx,6
WS-numArg20-pbCycle0.25-beta0.25-baseDegree16-2.apx,0
WS-numArg20-pbCycle0.25-beta0.75-baseDegree8-2.apx,6
WS-numArg20-pbCycle0.5-beta0.75-baseDegree16-0.apx,4
WS-numArg20-pbCycle0.75-beta0.5-baseDegree16-3.apx,12
WS-numArg20-pbCycle0.75-beta0.25-baseDegree12-1.apx,6
WS-numArg20-pbCycle0.25-beta0.5-baseDegree16-4.apx,4
WS-numArg20-pbCycle0.5-beta0-baseDegree12-2.apx,6
WS-numArg20-pbCycle0.75-beta1-baseDegree8-0.apx,10
WS-numArg20-pbCycle0.75-beta0.5-baseDegree8-1.apx,18
WS-numArg20-pbCycle0.5-beta0-baseDegree8-1.apx,12
WS-numArg20-pbCycle0.75-beta0.25-baseDegree12-2.apx,6
WS-numArg20-pbCycle0.5-beta1-baseDegree16-0.apx,6
WS-numArg20-pbCycle0.75-beta0.5-baseDegree8-2.apx,4
WS-numArg20-pbCycle0.75-beta0.25-baseDegree16-1.apx,10
WS-numArg20-pbCycle0.5-beta0.5-baseDegree4-1.apx,22
WS-numArg20-pbCycle0.75-beta0.25-baseDegree8-3.apx,4
WS-numArg20-pbCycle0.5-beta0.25-baseDegree4-4.apx,18
WS-numArg20-pbCycle0.5-beta0.75-baseDegree16-4.apx,4
WS-numArg20-pbCycle0.75-beta0-baseDegree16-1.apx,4
